id;test.phase;correct.ans;Faze;CasZadani;CasKliknuti;RotaceHrace;RotaceCile;JmenoCile;UhlovaVzdalenostCile;PovolenaVzdalenost;JmenoOrientacnihoBodu;rozmisteni.x;zapis.x;date.time.x;date.x;same.letters.x;Cas;HracRotaceY;HracRotaceX;AIRotaceY;CilArena1Uhel;CilArena2Uhel;CilAI1Uhel;CilAI2Uhel;klavesa;rozmisteni.y;zapis.y;date.time.y;date.y;PoziceHrace.x;PoziceHrace.y;PoziceHrace.z;PoziceAI.x;PoziceAI.y;PoziceAI.z;CilArena1Pozice.x;CilArena1Pozice.y;CilArena1Pozice.z;CilArena2Pozice.x;CilArena2Pozice.y;CilArena2Pozice.z;CilAI1Pozice.x;CilAI1Pozice.y;CilAI1Pozice.z;CilAI2Pozice.x;CilAI2Pozice.y;CilAI2Pozice.z;same.letters.y;angDistTravel;cumsumAngAbs;leftAng;cumsumLeftAng;rightAng;cumsumRightAng;distance1;distance2;diff.sec.closest;reactionTime;did.switch;whereTo;correctAnsQuant;AnsQuant
1;F3;CORRECT;1;1744.504;1748.105;311.0286;300.0686;CilArena1;10.96;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1748.058;311.0286;8.375;159.3088;300.0686;59.93142;76.41222;91.01917;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;12.1; 1.2; 4.5;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;6.8; 1.4; 1.7;15.8; 1.4; -0.3;FALSE;0;206.1221;0;206.1221;0;0;142.9179;142.9179;97.94282;3.60100000000011;NA;NA;73;73
1;F3;CORRECT;2;1748.105;1749.504;71.9051;59.9314;CilArena2;11.9736;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1749.458;71.90505;2.625;173.9431;300.0686;59.93142;97.35952;100.2863;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;12.8; 1.2; 1.6;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;7.3; 1.4; -0.9;16.6; 1.4; -3.0;FALSE;0;120.87645;0;0;0;120.87645;108.90282;108.9028;13.48082;1.39899999999989;NOSWITCH;Arena;73;73
1;F3;CORRECT;4;1751.199;1756.262;69.1678;59.9314;CilArena2;9.2364;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1756.214;70.41769;2.125;187.8068;300.0686;59.93142;161.5109;132.3711;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;10.9; 1.2; -14.3;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;4.9; 1.4; -14.8;16.8; 1.4; -15.3;FALSE;-2.74986000000001;603.49161;2.74986000000001;496.61481;0;106.8768;-40.22428;-40.2243;53.9669;5.06299999999987;SWITCH;Arena;73;73
1;F3;CORRECT;6;1757.463;1759.591;311.1737;300.0686;CilArena1;11.1051;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1759.568;311.1737;358.625;267.029;300.0686;59.93142;186.6899;147.4904;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;4.1; 1.2; -15.3;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-1.8; 1.4; -15.7;10.1; 1.4; -15.9;FALSE;0;159.0044;0;6.74980000000002;0;152.2546;134.3997;134.3997;97.65262;2.12799999999993;SWITCH;Arena;73;73
1;F3;CORRECT;8;1761.448;1762.934;56.1894;59.9314;CilArena2;3.742;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1762.923;56.18941;2.500001;266.2877;300.0686;59.93142;211.1669;172.2294;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-3.8; 1.2; -15.8;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-9.8; 1.4; -16.2;2.2; 1.4; -16.1;FALSE;0;126.75289;0;126.74809;0;0.00479999999998881;-123.00128;-123.0013;112.298;1.48599999999988;SWITCH;Arena;73;73
1;F3;CORRECT;9;1762.935;1765.144;312.1949;300.0686;CilArena1;12.1263;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1765.124;312.1949;2.75;266.9982;300.0686;59.93142;222.3433;190.6499;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-9.1; 1.2; -16.1;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-15.0; 1.4; -16.5;-3.1; 1.4; -16.3;FALSE;0;256.00549;0;0;0;256.00549;-116.12081;-116.12081;77.7253;2.20900000000006;NOSWITCH;Arena;73;73
1;F3;CORRECT;13;1768.72;1770.734;306.5838;300.0686;CilArena1;6.5152;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1770.729;306.5838;357.375;359.291;300.0686;59.93142;241.2423;221.2947;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-12.6; 1.2; -6.2;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-17.6; 1.4; -9.6;-6.9; 1.4; -7.8;FALSE;0;118.6289;0;10.999;0;107.6299;90.1157;90.1157;58.8263;2.0139999999999;SWITCH;Arena;73;73
1;F3;CORRECT;14;1770.734;1772.062;68.0859;59.9314;CilArena2;8.1545;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1772.03;68.08587;2.125;358.7636;300.0686;59.93142;247.5569;234.2173;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-12.7; 1.2; -3.1;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-17.2; 1.4; -7.1;-7.1; 1.4; -5.1;FALSE;-2.24991;187.75093;2.24991;33.12443;0;154.6265;113.34762;113.3476;119.8628;1.32799999999997;NOSWITCH;Arena;73;73
1;F3;CORRECT;15;1772.062;1773.143;290.9632;300.0686;CilArena1;9.1054;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1773.132;290.9632;4.875001;359.6576;300.0686;59.93142;253.9388;248.9899;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-12.8; 1.2; -0.5;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-17.0; 1.4; -4.9;-7.3; 1.4; -2.8;FALSE;-1.49990000000003;137.12267;1.49990000000003;137.12267;0;0;-128.01727;-128.01727;27.919;1.08100000000013;NOSWITCH;Arena;73;73
1;F3;CORRECT;16;1773.143;1773.974;26.714;59.9314;CilArena2;33.2174;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1773.932;23.08896;4.000001;0.7476104;300.0686;59.93142;259.0459;261.083;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-12.8; 1.2; 1.3;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-16.7; 1.4; -3.2;-7.3; 1.4; -1.1;FALSE;3.25004999999999;92.12576;0;0;3.25004999999999;92.12576;128.96822;128.9682;53.428;0.830999999999904;NOSWITCH;Arena;73;73
1;F3;CORRECT;18;1775.174;1776.063;280.4687;273.7232;CilAI1;6.7455;38.2148;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1776.036;280.4687;3.5;25.61979;300.0686;59.93142;273.5613;293.4441;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-11.6; 1.2; 5.8;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-15.2; 1.4; 0.9;-6.4; 1.4; 2.8;FALSE;0;22.7497;0;17.2492;0;5.50049999999999;-24.6538;-18.4942;6.22989999999998;0.889000000000124;NOSWITCH;AI;73;73
1;F3;CORRECT;20;1778.199;1779.054;57.3486;59.9314;CilArena2;2.5828;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1779.037;57.34862;2.75;26.73648;300.0686;59.93142;301.3203;335.8129;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-8.5; 1.2; 12.2;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-11.9; 1.4; 7.2;-3.8; 1.4; 8.5;FALSE;0.500040000000013;125.75092;0;0;0.500040000000013;125.75092;128.33372;128.3337;78.9529;0.855000000000018;NOSWITCH;Arena;73;73
1;F3;CORRECT;21;1780.839;1783.958;62.3828;59.9314;CilArena2;2.4514;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1783.925;62.3828;1.75;25.37343;300.0686;59.93142;328.1188;355.2483;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-5.3; 1.2; 18.8;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-8.6; 1.4; 13.8;-1.2; 1.4; 14.5;FALSE;3.75009;338.37274;0;137.99497;3.75009;200.37777;59.93142;59.9314;64.6831;3.11900000000014;NOSWITCH;Arena;73;73
1;F3;CORRECT;23;1785.853;1787.438;62.6382;59.9314;CilArena2;2.7068;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1787.429;62.6382;1.125;130.6049;300.0686;59.93142;343.5331;19.72179;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;0.4; 1.2; 16.5;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-3.5; 1.4; 11.9;4.3; 1.4; 11.9;FALSE;0;133.74992;0;37.3738689999999;0;96.376051;56.295402;56.295382;40.20961;1.58500000000004;SWITCH;Arena;73;73
1;F3;CORRECT;27;1791.031;1792.03;301.3937;300.0686;CilArena1;1.3252;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1791.983;301.8936;2.625;289.3005;300.0686;59.93142;6.718418;53.78967;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;5.5; 1.2; 11.4;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;0.9; 1.4; 7.6;9.3; 1.4; 6.8;FALSE;-3.74959999999999;116.24811;3.74959999999999;116.24811;0;0;-118.07311;-118.07311;63.999518;0.999000000000024;NOSWITCH;Arena;73;73
1;F3;CORRECT;29;1794.654;1796.567;56.6477;59.9314;CilArena2;3.2838;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1796.538;56.64766;2.375;258.2711;300.0686;59.93142;314.2583;3.249983;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-4.0; 1.2; 12.2;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-7.8; 1.4; 7.6;0.5; 1.4; 8.2;FALSE;0;68.25046;0;0;0;68.25046;71.53422;71.5342;50.113917;1.91300000000001;SWITCH;Arena;73;73
1;F3;CORRECT;31;1797.814;1799.79;318.4043;314.8212;CilAI2;3.5831;59.516;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1799.742;318.2793;4.000001;222.3857;300.0686;59.93142;284.5288;315.8484;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-9.8; 1.2; 8.3;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-13.4; 1.4; 3.5;-4.8; 1.4; 5.0;FALSE;2.50029999999998;19.9994;0;9.37299999999999;2.50029999999998;10.6264;28.7859;-2.2047;14.7526;1.97599999999989;NOSWITCH;AI;73;73
1;F3;CORRECT;32;1799.79;1802.333;296.5345;300.0686;CilArena1;3.5341;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1802.293;298.9092;358.5;196.0259;300.0686;59.93142;264.8308;274.381;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-12.5; 1.2; 3.2;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-16.2; 1.4; -1.5;-7.1; 1.4; 0.5;FALSE;-6.99990000000003;284.49734;6.99990000000003;151.99622;0;132.50112;-18.3357;-18.3357;18.6194;2.54300000000012;SWITCH;Arena;73;73
1;F3;CORRECT;35;1804.261;1805.557;289.165;300.0686;CilArena1;10.9036;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1805.548;289.165;355.5;189.5275;300.0686;59.93142;245.8458;233.2822;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-13.9; 1.2; -4.3;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-18.4; 1.4; -8.2;-8.1; 1.4; -6.1;FALSE;0;42.6269;0;0;0;42.6269;53.5305;53.5305;32.4156;1.29600000000005;SWITCH;Arena;73;73
1;F3;CORRECT;37;1806.765;1807.709;286.0441;300.0686;CilArena1;14.0245;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1807.7;286.0441;356.5;190.0273;300.0686;59.93142;238.1808;219.9801;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-14.7; 1.2; -9.4;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-19.9; 1.4; -12.3;-8.8; 1.4; -10.5;FALSE;0;73.6248;0;11.6237;0;62.0011;64.4019;64.4019;33.8388;0.94399999999996;SWITCH;Arena;73;73
1;F3;CORRECT;39;1808.646;1809.838;25.5475;59.9314;CilArena2;34.3839;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1809.8;25.54749;356.25;338.0034;300.0686;59.93142;235.3932;215.6323;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-15.2; 1.2; -12.2;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-20.8; 1.4; -14.3;-9.2; 1.4; -12.9;FALSE;0;156.62709;0;0;0;156.62709;-168.98898;-168.989;51.095;1.19200000000001;SWITCH;Arena;73;73
